l1,l2,h1,w1,Lmt,Lmr,Llk,Rt,Rr
43,68,139,71,0.81769075,0.817586241,1.874691224,16.17765236,16.17642981
37,67,135,196,1.987177162,1.986980264,2.697443613,50.29031645,50.28607431
40,52,51,143,2.552057509,2.552017104,2.813862923,59.43273055,59.42605696
30,52,121,44,0.434505817,0.434582178,1.496779462,6.644338551,6.644121294
44,76,133,82,0.951031497,0.950875988,1.993483883,20.02251422,20.02084982
14,71,131,157,0.687519838,0.687421351,2.159479977,10.00974698,10.00943342
42,96,129,106,1.10458787,1.104304418,2.05035709,24.67754296,24.6751033
10,94,80,95,0.350451373,0.350364867,1.592973214,4.538735342,4.538698601
22,82,123,123,0.801143501,0.801026758,1.931674466,13.27548792,13.27447946
22,75,144,143,0.876710043,0.87654097,2.100156368,14.88604199,14.88481871
12,63,137,112,0.430637962,0.430648238,1.743000585,5.866869639,5.866911152
24,50,104,106,0.946997204,0.947059018,1.955878914,15.94892792,15.94804675
24,68,80,149,1.372577636,1.372482131,2.290465849,24.1042686,24.10179914
22,54,82,59,0.547062952,0.547192767,1.624063911,8.067097795,8.066727719
28,50,66,191,2.388525444,2.388551144,2.917449379,48.69188763,48.68805522
32,52,135,127,1.229281866,1.229273272,2.245848421,25.10538685,25.10320561
22,50,74,168,1.650129231,1.650277454,2.567168549,28.98367958,28.98127785
24,86,148,155,0.961702875,0.961494377,2.25644702,17.51377228,17.51252228
19,91,72,84,0.586517651,0.586404648,1.783048517,8.618121843,8.617306594
12,52,80,191,1.044139635,1.04424475,2.656229387,15.19425283,15.19390118
25,79,140,140,0.955901668,0.955731712,2.073354545,17.27762904,17.27617887
21,77,71,100,0.82883376,0.828726324,1.95617177,12.87476744,12.87356465
33,71,64,80,1.030250858,1.030173735,2.074702927,18.5852949,18.58333096
27,87,100,93,0.783484365,0.783411631,1.869879698,13.29862892,13.29722341
40,62,72,182,2.687498533,2.687439075,2.93492943,68.46981818,68.46248679
23,93,82,120,0.928736255,0.928504212,2.122208153,15.31980323,15.31821508
35,69,144,34,0.3226721,0.322674781,1.502305197,4.758480557,4.758627708
43,75,52,158,2.566903756,2.566533251,2.938495502,64.37926855,64.37200848
