l1,l2,h1,w,Lmt,Lmr,Llk,Rt,Rr,Lmt,Lmr,Llk,Rt,Rr
16,63,134,73,0.408369942,0.399168585,1.50113381,5.725784755,5.378457973,0.378407,0.378482,1.613768,5.174709,5.174474
43,62,143,89,1.116782994,1.113231434,1.982403624,23.4885436,22.66480265,1.049343,1.049179,2.045399,21.942844,21.940736
18,63,112,110,0.715491562,0.731169559,1.908686438,11.66849879,11.95333183,0.70525,0.705248,1.945105,10.210082,10.209264
24,92,109,123,0.929069961,0.929119995,2.064351045,16.13630531,14.98582231,0.899905,0.89725,2.115706,14.586608,14.584938
47,64,126,158,2.043168994,2.083389854,2.659759706,60.42497522,59.45179152,2.11084,2.110523,3.107581,56.218602,56.212459
25,78,58,39,0.408664067,0.414260042,1.589168548,5.355437064,6.18898425,0.41558,0.415585,1.49919,5.739437,5.739266
31,89,143,52,0.392243734,0.387471464,1.467972048,6.557545072,6.749610003,0.422861,0.422759,1.519573,6.578138,6.577718
33,73,51,87,1.202668366,1.213388763,2.127092826,21.70621469,22.74780668,1.238765,1.238607,2.337256,21.514745,21.512367
16,90,81,120,0.730615854,0.710451301,2.027486821,11.06325642,9.889973307,0.70418,0.70398,2.054593,9.797581,9.796629
17,80,76,141,0.935146277,0.926694602,2.246675983,14.0553004,14.46450354,0.950005,0.949837,2.334072,13.598785,13.597433
38,87,95,44,0.524754,0.515610439,1.670525116,8.789463101,7.52397658,0.521641,0.521529,1.73096,8.096899,8.096489
19,96,65,170,1.147148895,1.136414529,2.525355319,19.19841426,18.73766676,1.227353,1.226923,2.787936,18.431297,18.42913
32,100,58,105,1.188615451,1.166050482,2.193711776,23.06477394,24.25008159,1.202405,1.202066,2.405765,21.301838,21.299039
14,98,50,162,0.974014708,0.97016008,2.438350809,14.42746675,14.43658433,0.959593,0.959025,2.899923,13.016924,13.015446
43,93,58,98,1.353161385,1.327373424,2.302129189,27.70528903,28.54831245,1.459647,1.459305,2.516373,30.003997,30.000747
20,90,93,185,1.181554191,1.19052585,2.574646114,18.80686353,20.05190457,1.248872,1.248488,2.797896,19.487434,19.485254
17,63,65,53,0.377455936,0.383053018,1.590653693,5.141332359,5.00066992,0.427536,0.427654,1.546797,5.699568,5.699235
45,79,105,55,0.739318424,0.749170283,1.837027305,13.11780858,13.80953557,0.739114,0.378969,2.021355,12.921696,12.921026
44,81,85,117,1.619666678,1.653601359,2.397102003,37.06588657,38.42978519,1.655801,1.655556,2.629604,37.109338,37.104744
26,54,74,51,0.554814668,0.552671607,1.683832549,7.671986622,8.384990507,0.58721,0.587309,1.543495,8.639672,8.639269
