N1,N2,space1,space2,l1,l2,h1,w1,Lmt,Lmr,Llk,Rt,Rr
2,8,15,36,9,78,115,81,0.062432954,0.995920103,0.454116917,0.776049253,12.40954761
8,1,26,37,30,62,164,153,4.874494676,0.076305977,9.626614666,96.57301005,1.509339317
8,8,10,22,22,42,168,77,2.011024167,2.010987354,1.999093362,30.73036611,30.72935154
5,5,12,48,19,83,168,140,1.051319935,1.051648853,5.991964957,16.25887819,16.25639973
9,3,37,50,30,78,199,42,1.436817199,0.160372312,7.774059674,21.47203838,2.386928497
6,9,38,56,12,81,136,159,1.291251855,2.904550925,4.304409849,17.33394623,38.99737386
7,1,33,43,14,97,109,173,2.291036152,0.04687389,6.870311637,32.48866824,0.663476955
9,6,7,53,46,96,110,144,8.918417333,3.965222271,27.20689846,235.6750096,104.710827
4,9,22,45,14,65,109,46,0.236359577,1.195536238,1.63172761,3.058818077,15.48067756
6,8,8,32,35,95,100,65,1.522344722,2.704580599,4.023564884,25.84361296,45.93578534
9,9,29,50,9,80,108,41,0.659322448,0.661302454,5.855085454,8.033574537,8.035058392
3,6,7,32,27,71,107,126,0.629128694,2.514415239,1.571120366,11.20751788,44.82019202
5,8,18,34,36,85,197,187,2.252469738,5.762737573,2.965473296,52.85122961,135.2831374
2,3,5,55,32,75,180,120,0.22458782,0.505434157,1.479722882,4.520157568,10.16688959
5,6,23,32,37,94,142,152,2.181992272,3.141640886,1.112125506,48.41226195,69.71046761
6,3,7,20,43,41,69,124,5.204300756,1.301405432,3.391077744,119.2358477,29.80847954
3,8,29,43,31,94,152,35,0.152904252,1.084994488,0.72235852,2.177578993,15.47932174
4,4,25,38,12,91,145,145,0.481259717,0.481356706,1.37188575,6.481564716,6.481566289
4,9,27,36,31,75,186,135,0.981759401,4.96609905,0.900149682,19.22458795,97.31275149
6,7,10,42,20,86,151,106,1.275642117,1.73579069,6.002546374,19.28760626,26.24705749
3,9,17,55,9,96,158,142,0.189304616,1.699690613,2.170755815,2.396114011,21.55707458
4,5,20,41,47,66,186,33,0.356055679,0.556276758,1.959031143,5.374116299,8.396799236
2,2,5,26,6,58,86,119,0.081346895,0.081322063,0.560936616,0.998479367,0.998506387
1,5,35,52,25,80,91,157,0.084229765,2.103790231,0.22893157,1.480387956,36.99655575
9,5,37,51,19,72,173,151,3.778091458,1.167861237,8.121521293,58.50258873,18.05805062
3,7,5,38,24,87,164,142,0.475719268,2.585387547,2.101341168,8.161041623,44.41856971
5,6,6,25,20,78,108,161,1.663707336,2.394455093,2.989659341,26.30356473,37.87247865
1,1,12,32,37,96,182,113,0.055392758,0.055384324,0.173767256,1.192833368,1.192758118
8,1,12,31,9,89,184,118,1.041500474,0.016366995,9.006003452,13.18220722,0.206278104
6,1,21,51,34,75,154,76,1.493705874,0.041629238,9.332273176,27.18162855,0.755291199
